sample	name
SRR5910081	CI3A Leaf 3 Base
SRR5910080	CI3A Leaf 3 Tip
SRR5909875	CI3A Adult leaf (night)
SRR5910088	CI64 Root
SRR5910085	CI64 Shoot
SRR5910089	CI64 Leaf 3 Base
SRR5909714	CI64 Leaf 3 Tip
SRR5910084	CI64 Adult leaf (day)
SRR5910087	CI64 Adult leaf (night)
SRR5909718	CI66 Root
SRR5909715	CI66 Shoot
SRR5909722	CI66 Kernel
SRR5909719	CI66 Kernel
SRR5909720	CI66 Leaf 3 Base
SRR5909717	CI66 Leaf 3 Tip
SRR5909713	CI66 Adult leaf (day)
SRR5909716	CI66 Adult leaf (night)
SRR5911682	CI7 Root
SRR5911683	CI7 Shoot
SRR5911738	CI7 Kernel
SRR5911675	CI7 Leaf 3 Base
SRR5911674	CI7 Leaf 3 Tip
SRR5911680	CI7 Adult leaf (day)
SRR5911681	CI7 Adult leaf (night)
SRR5911742	CI90C Root
SRR5911741	CI90C Shoot
SRR5911745	CI90C Kernel
SRR5911744	CI90C Leaf 3 Base
SRR5911743	CI90C Leaf 3 Tip
SRR5911739	CI90C Adult leaf (day)
SRR5911784	CI90C Adult leaf (night)
SRR5911903	CI91B Root
SRR5911904	CI91B Shoot
SRR5911900	CI91B Kernel
SRR5911901	CI91B Leaf 3 Base
SRR5911902	CI91B Leaf 3 Tip
SRR5911786	CI91B Adult leaf (day)
SRR5911787	CI91B Adult leaf (night)
SRR5909802	CM105 Root
SRR5909801	CM105 Shoot
SRR5909805	CM105 Kernel
SRR5909803	CM105 Leaf 3 Base
SRR5909804	CM105 Leaf 3 Tip
SRR5909721	CM105 Adult leaf (day)
SRR5909800	CM105 Adult leaf (night)
SRR5909799	CM37 Root
SRR5909798	CM37 Shoot
SRR5909933	CM37 Kernel
SRR5909934	CM37 Leaf 3 Base
SRR5909935	CM37 Leaf 3 Tip
SRR5909806	CM37 Adult leaf (day)
SRR5909807	CM37 Adult leaf (night)
SRR5909932	CM7 Shoot
SRR5909937	CM7 Kernel
SRR5909928	CM7 Leaf 3 Base
SRR5909929	CM7 Leaf 3 Tip
SRR5909931	CM7 Adult leaf (day)
